chlorophyll_a_ug_l,water_temperature_c,total_p_mg_l,total_n_mg_l,do_mg_l,predicted_chlorophyll_a_ug_l
4.6,4.333333333333333,0.0086666666666666,0.974,10.733333333333334,2.2799350876237288
3.1,4.666666666666667,0.0689999999999999,1.5963333333333332,11.166666666666666,4.833297590182485
3.2,7.0,0.013,1.4863333333333333,9.1,2.626622477327725
4.0,10.666666666666666,0.0086666666666666,1.9476666666666669,8.9,3.0588640641650855
3.7,16.0,0.0056666666666666,1.1806666666666663,9.4,3.4268423327019253
5.0,23.0,0.0146666666666666,1.159333333333333,8.333333333333334,4.646961154944356
6.0,28.0,0.0133333333333333,0.8693333333333334,6.966666666666666,5.002949536201495
3.2,27.33333333333333,0.0383333333333333,0.8866666666666667,8.700000000000001,6.728996764222035
6.3,24.33333333333333,0.0476666666666666,1.0903333333333334,7.966666666666668,6.530714450926009
25.0,22.0,0.0126666666666666,1.1666666666666667,9.0,4.53598904455729
6.1,17.0,0.0216666666666666,0.898,9.6,4.101914081672107
1.2,11.0,0.0106666666666666,0.8220000000000001,12.366666666666667,3.3000826898113322
4.0,4.0,0.0166666666666666,1.0103333333333333,11.166666666666666,2.53642317832918
3.8,4.0,0.01,1.357,9.566666666666668,2.248857362641772
5.6,6.0,0.0133333333333333,1.7326666666666668,6.0,2.193063094243945
6.2,9.666666666666666,0.01,1.743,8.299999999999999,2.8119740801116593
3.4,16.0,0.0183333333333333,1.5146666666666668,7.466666666666666,3.690374887651253
20.3,18.666666666666668,0.02,1.3963333333333334,6.133333333333333,3.8401687409181173
15.4,22.33333333333333,0.0239999999999999,1.241,10.3,5.500536198631693
7.0,24.666666666666668,0.0559999999999999,1.1576666666666666,7.166666666666667,6.937387077621401
5.1,25.33333333333333,0.0193333333333333,0.9196666666666666,7.666666666666667,4.999368272744317
4.6,21.0,0.0126666666666666,0.7273333333333333,9.2,4.19274162946849
9.0,18.0,0.0123333333333333,1.0386666666666666,8.8,3.7877456132284166
3.6,11.0,0.0166666666666666,1.3376666666666666,11.5,3.5792957676004855
1.8,5.0,0.0236666666666666,0.945,13.366666666666667,3.184640396919299
7.1,4.0,0.0183333333333333,1.3326666666666669,12.566666666666668,2.9050197833771105
8.3,5.0,0.0143333333333333,1.9246666666666667,11.9,3.0135832571131163
2.6,9.333333333333334,0.0186666666666666,1.854,9.266666666666667,3.2501173302884903
2.9,17.333333333333332,0.0296666666666666,2.923,9.033333333333331,5.505329350784693
9.8,20.666666666666668,0.0236666666666666,1.4396666666666669,8.466666666666667,4.837522285216145
7.9,24.0,0.0163333333333333,0.4526666666666667,8.366666666666667,4.530242499444332
3.5,26.666666666666668,0.0263333333333333,1.3613333333333333,10.666666666666666,6.763386501692703
6.3,22.666666666666668,0.0486666666666666,1.6873333333333334,11.9,7.913602909697946
8.2,17.333333333333332,0.026,1.709,6.933333333333334,4.185188651727322
7.2,16.333333333333332,0.033,1.628,8.0,4.509965156773316
5.3,9.0,0.021,2.039333333333333,11.666666666666666,3.7967926638272287
7.0,3.0,0.0223333333333333,1.5106666666666666,12.433333333333332,2.9572657638834277
4.6,3.6666666666666665,0.0353333333333333,1.9436666666666664,12.833333333333334,3.7494911768053134
6.8,9.0,0.0236666666666666,1.9186666666666667,13.533333333333331,4.217643986402152
6.5,12.333333333333334,0.03,1.436,11.666666666666666,4.400577188935124
6.6,17.333333333333332,0.0276666666666666,1.1266666666666667,9.733333333333333,4.5583728541319
8.8,21.0,0.016,1.1929999999999998,13.3,5.554306200139262
