Date,Naedong_Cyanobecteria,Panmun_Cyanobecteria,Naedong_Chl-a,Panmun_Chl-a
2010.04.05,0,0,,
2010.04.12,0,0,,
2010.04.19,0,0,,
2010.04.26,0,0,,
2010.05.03,0,0,,
2010.05.10,0,0,,
2010.05.17,0,0,,
2010.05.24,0,0,,
2010.05.31,0,0,,
2010.06.07,0,0,,
2010.06.14,0,0,,
2010.06.21,0,0,,
2010.06.28,0,0,,
2010.07.05,0,0,,
2010.07.13,0,313,,
2010.07.19,280,320,,
2010.07.26,330,385,,
2010.08.02,270,295,,
2010.08.09,337,300,,
2010.08.16,265,310,,
2010.08.23,290,295,,
2010.08.30,320,340,,
2010.09.06,465,600,,
2010.09.13,470,490,,
2010.09.20,475,485,,
2010.09.27,320,385,,
2010.10.04,275,370,,
2010.10.11,160,220,,
2010.10.18,260,300,,
2010.10.25,220,270,,
2010.11.01,230,240,,
2010.11.08,225,230,,
2010.11.15,220,240,,
2010.11.22,135,165,,
2010.11.29,0,0,,
2011.04.04,0,0,,
2011.04.11,0,0,,
2011.04.18,0,0,,
2011.04.25,0,0,,
2011.05.02,0,0,,
2011.05.09,0,0,,
2011.05.16,0,0,,
2011.05.23,0,0,,
2011.05.30,0,0,,
2011.06.07,0,0,,
2011.06.13,0,0,,
2011.06.20,0,0,,
2011.06.27,0,0,,
2011.07.04,0,0,,
2011.07.11,0,0,,
2011.07.18,0,0,,
2011.07.25,0,0,,
2011.08.01,0,0,,
2011.08.08,0,0,,
2011.08.16,0,0,,
2011.08.22,0,0,,
2011.08.29,454,221,,
2011.09.05,0,0,,
2011.09.14,0,0,,
2011.09.19,0,0,,
2011.09.26,0,0,,
2011.10.04,0,0,,
2011.10.10,0,0,,
2011.10.17,0,0,,
2011.10.24,0,0,,
2011.10.31,0,0,,
2011.11.07,0,0,,
2011.11.14,0,0,,
2011.11.21,0,0,,
2011.11.28,0,0,,
2012.04.02,0,0,,
2012.04.09,0,0,,
2012.04.16,0,0,,
2012.04.23,0,0,,
2012.04.30,0,0,,
2012.05.08,0,0,,
2012.05.15,0,0,,
2012.05.21,0,0,,
2012.05.29,0,0,,
2012.06.04,0,0,,
2012.06.11,0,0,,
2012.06.18,0,0,,
2012.06.25,0,0,,
2012.07.02,0,0,,
2012.07.09,0,0,,
2012.07.16,0,0,,
2012.07.23,0,0,,
2012.07.30,0,0,,
2012.08.06,0,0,,
2012.08.13,0,0,,
2012.08.20,0,0,,
2012.08.27,0,0,,
2012.09.04,0,0,,
2012.09.10,0,0,,
2012.09.18,0,0,,
2012.09.24,0,0,,
2012.10.04,0,0,,
2012.10.08,0,0,,
2012.10.15,0,0,,
2012.10.22,0,0,,
2012.10.29,0,0,,
2012.11.05,0,0,,
2012.11.13,0,0,,
2012.11.19,0,0,,
2012.11.28,0,0,,
2012.12.04,0,0,,
2012.12.11,0,0,,
2012.12.18,0,0,,
2012.12.24,0,0,,
2013.01.02,0,0,,
2013.01.07,0,0,,
2013.01.14,0,0,,
2013.01.21,0,0,,
2013.01.28,0,0,,
2013.02.04,0,0,,
2013.02.13,0,0,,
2013.02.18,0,0,,
2013.02.26,0,0,,
2013.03.04,0,0,,
2013.03.12,0,0,,
2013.03.18,0,0,,
2013.03.26,0,0,,
2013.04.02,0,0,,
2013.04.09,0,0,,
2013.04.15,0,0,,
2013.04.23,0,0,,
2013.04.30,0,0,,
2013.05.07,0,0,,
2013.05.14,0,0,,
2013.05.21,0,0,,
2013.05.27,0,0,,
2013.06.04,0,0,,
2013.06.11,0,0,,
2013.06.18,0,0,,
2013.06.24,0,0,,
2013.07.01,0,0,,
2013.07.08,0,0,,
2013.07.15,0,0,,
2013.07.29,0,0,,
2013.08.05,0,0,,
2013.08.12,0,0,,
2013.08.19,0,0,,
2013.08.26,0,0,,
2013.09.02,0,0,,
2013.09.09,0,0,,
2013.09.16,0,0,,
2013.09.30,0,0,,
2013.10.07,0,0,,
2013.10.14,0,0,,
2013.10.21,0,0,,
2013.10.28,0,0,,
2013.11.04,0,0,,
2013.11.11,0,0,,
2013.11.18,0,0,,
2013.11.25,0,0,,
2013.12.02,0,0,,
2013.12.09,0,0,,
2013.12.16,0,0,,
2013.12.23,0,0,,
2013.12.30,0,0,,
2014.01.06,0,0,,
2014.01.13,0,0,,
2014.01.20,0,0,,
2014.01.27,0,0,,
2014.02.03,0,0,,
2014.02.10,0,0,,
2014.02.17,0,0,,
2014.02.24,0,0,,
2014.03.03,0,0,,
2014.03.10,0,0,,
2014.03.17,0,0,,
2014.03.24,0,0,,
2014.03.31,0,0,,
2014.04.07,0,0,,
2014.04.14,0,0,,
2014.04.21,0,0,,
2014.04.28,0,0,,
2014.05.07,0,0,,
2014.05.12,0,0,,
2014.05.19,0,0,,
2014.05.26,0,0,,
2014.06.05,0,0,,
2014.06.09,0,0,,
2014.06.16,0,0,,
2014.06.23,0,0,,
2014.07.01,0,0,,
2014.07.08,0,0,,
2014.07.14,120,120,,
2014.07.22,60,80,,
2014.08.05,0,0,,
2014.08.11,0,0,,
2014.08.18,0,0,,
2014.08.25,0,0,,
2014.09.01,0,0,,
2014.09.15,0,0,,
2014.09.22,0,0,,
2014.10.01,0,0,,
2014.10.06,0,0,,
2014.10.13,0,0,,
2014.10.20,0,0,,
2014.11.03,0,0,,
2014.11.10,0,0,,
2014.11.17,0,0,,
2014.11.24,0,0,,
2014.12.15,0,0,,
2014.12.22,0,0,,
2014.12.29,0,0,,
2015.01.09,0,0,,
2015.01.13,0,0,,
2015.01.19,0,0,,
2015.01.26,0,0,,
2015.02.02,0,0,,
2015.02.10,0,0,,
2015.02.16,0,0,,
2015.02.23,0,0,,
2015.03.02,0,0,,
2015.03.10,0,0,,
2015.03.16,0,0,,
2015.03.24,0,0,,
2015.03.31,0,0,,
2015.04.07,0,0,,
2015.04.13,0,0,,
2015.04.21,0,0,,
2015.04.27,0,0,,
2015.05.04,0,0,,
2015.05.11,0,0,,
2015.05.20,0,0,,
2015.05.27,0,244,,
2015.06.01,166,112,,
2015.06.08,34,263,,
2015.06.15,0,839,,
2015.06.22,238,323,,
2015.06.29,153,408,,
2015.07.06,204,399,,
2015.07.13,705,816,,
2015.07.20,1343,1249,,
2015.07.27,1997,1759,,
2015.08.03,2227,3451,,
2015.08.10,2167,1827,,
2015.08.17,3060,603,,
2015.08.24,7675,20425,,
2015.08.31,3170,3867,,
2015.09.07,2584,3995,,
2015.09.14,943,1683,,
2015.09.21,475,2277,,
2015.09.30,433,1096,,
2015.10.05,824,849,,
2015.10.12,484,1053,,
2015.10.19,603,611,,
2015.10.26,187,509,,
2015.11.02,0,543,,
2015.11.09,25,68,,
2015.11.16,0,0,,
2015.11.23,0,25,,
2015.11.30,0,0,,
2015.12.07,0,0,,
2015.12.14,0,0,,
2015.12.21,0,0,,
2015.12.28,0,374,,
2016.01.04,17,85,,
2016.01.11,0,0,,
2016.01.18,0,0,,
2016.01.25,0,0,,
2016.02.01,0,0,,
2016.02.12,,,,
2016.02.15,0,0,,
2016.02.22,0,0,,
2016.02.29,0,0,,
2016.03.07,0,0,,
2016.03.14,0,0,,
2016.03.21,0,0,,
2016.03.28,0,0,,
2016.04.04,0,0,,10.4
2016.04.11,0,0,,9.7
2016.04.18,0,0,,6.6
2016.04.25,0,0,,5
2016.05.02,0,0,,13.4
2016.05.11,0,0,,12.4
2016.05.16,0,0,,16.9
2016.05.23,0,0,,18.9
2016.05.30,242,0,,18.8
2016.06.07,144,0,,22.4
2016.06.13,601,790,,12.6
2016.06.20,725,884,,7.5
2016.06.27,977,915,,7.2
2016.07.04,259,243,,7.6
2016.07.11,108,168,,22.6
2016.07.18,0,892,,20.9
2016.07.25,0,2098,,10.6
2016.08.01,527,493,,7.9
2016.08.08,1955,2958,,12.3
2016.08.16,3187,3723,,12.8
2016.08.22,2499,2856,,9.9
2016.08.29,2805,2677,,20.6
2016.09.06,977,935,,15.2
2016.09.12,901,765,,17
2016.09.19,340,425,,9.2
2016.09.26,357,323,,20.6
2016.10.04,51,119,,22.6
2016.10.10,102,0,,11.5
2016.10.17,0,34,,16.6
2016.10.25,0,255,,41.6
2016.10.31,0,0,,23
2016.11.07,148,21,,12.8
2016.11.14,0,0,,21.1
2016.11.22,0,0,,8.2
2016.11.28,0,0,,7.1
2016.12.05,0,0,10,4.5
2016.12.12,0,0,9.5,7.3
2016.12.20,0,0,10.1,10.1
2016.12.27,0,0,5.4,5
2017.01.03,0,0,7.4,3.2
2017.01.09,0,0,10.1,4.6
2017.01.16,0,0,12.2,7.6
2017.01.23,0,0,13.7,10.1
2017.01.31,0,0,26.3,7.4
2017.02.06,0,0,14.7,7.2
2017.02.13,0,0,9.1,6.8
2017.02.20,0,0,8.2,7
2017.02.27,0,0,7.5,7.3
2017.03.06,0,0,6.7,4
2017.03.13,0,0,9.1,3.8
2017.03.20,0,0,13.2,4
2017.03.27,0,0,10.3,3.4
2017.04.03,0,0,8.3,2.2
2017.04.10,0,0,11.3,4.2
2017.04.17,0,0,11.4,3.4
2017.04.24,0,0,11.5,3.1
2017.05.02,0,0,19.5,2.3
2017.05.08,0,0,18.2,9.4
2017.05.15,0,0,15.9,7.3
2017.05.22,0,0,9.4,9.2
2017.05.30,0,0,12.7,4.2
2017.06.09,102,0,22.8,4.7
2017.06.12,34,136,12.7,7.5
2017.06.19,136,187,29.5,5.3
2017.06.26,170,697,17.6,7.9
2017.07.03,272,595,9.4,8.3
2017.07.10,1139,425,10.6,11.7
2017.07.17,884,1836,17,11.2
2017.07.24,5015,6222,7.7,15.3
2017.07.31,4471,9078,5.8,15.3
2017.08.07,3825,6596,4.3,13.1
2017.08.16,,,4.7,
2017.08.21,7463,1819,3.9,10.6
2017.08.28,6817,8313,3.8,26.3
2017.09.04,3077,5389,4.9,16
2017.09.11,850,884,7.8,9
2017.09.18,1326,3927,10.9,15.4
2017.09.25,2261,4097,7.3,16.9
2017.10.10,2635,1292,9.5,14.7
2017.10.17,8092,8364,7.2,13.4
2017.10.24,23579,19635,7,21
2017.10.30,33609,27132,6.3,16.7
2017.11.06,50218,18190,6.2,11.3
2017.11.08,54230,7497,4.3,8.8
2017.11.13,25840,9690,3.8,10.9
2017.11.20,24565,21709,4.3,11.8
2017.11.27,39831,13566,3.3,7.5
2017.11.30,48960,10982,2.5,9.1
2017.12.04,58463,7497,2.6,8.5
2017.12.06,12818,13056,1.8,9.5
2017.12.11,14977,7582,3.1,3.5
2017.12.13,26231,2686,1.8,5.1
2017.12.19,8942,595,10.8,3.4
2017.12.26,3978,612,8.3,4.2
2018.01.02,1428,136,7.4,5.6
2018.01.08,986,187,6.3,6
2018.01.15,204,136,5.7,6.5
2018.01.22,238,0,9.2,6.5
2018.01.29,0,,12.1,
2018.02.05,0,,7,
2018.02.12,,,8.2,
2018.02.20,,0,4.9,3
2018.02.26,,0,8.3,1.6
2018.03.06,0,0,11.2,3.2
2018.03.12,0,0,11.6,3.1
2018.03.20,0,0,11.3,4.1
2018.03.26,0,0,,4.1
2018.04.02,0,0,25.3,5.1
2018.04.09,0,0,33.8,4.3
2018.04.16,0,0,15.9,11.3
2018.04.24,0,0,11.7,3.2
2018.04.30,0,0,8.3,3.4
2018.05.08,0,0,17.3,6
2018.05.15,0,0,16.1,6.7
2018.05.21,0,0,12.9,19.3
2018.05.28,0,0,29.3,4.8
2018.06.05,0,0,21.7,8.8
2018.06.11,297,383,16.1,5.6
2018.06.18,0,2699,23,10.9
2018.06.25,449,5808,21.5,14.6
2018.07.02,145,707,19,8.8
2018.07.09,926,198,15.7,19.2
2018.07.16,541,422,17.7,6.6
2018.07.23,528,132,16.9,7.7
2018.07.30,0,554,8.9,2.3
2018.08.06,48,28563,8,11.1
2018.08.14,686,28784,13.6,13.9
2018.08.16,818,32009,4.4,8
2018.08.20,2250,16727,3.6,7.2
2018.08.22,964,3749,2.6,6
2018.08.29,59,4812,1.8,9.5
2018.08.30,977,0,3.7,3.2
2018.09.03,403,0,4.5,4
2018.09.10,766,46,4.7,2.4
2018.09.17,5320,264,6.4,7.5
2018.09.27,8006,2732,,18.4
2018.10.01,59,1399,,8
2018.10.08,396,172,,7.4
2018.10.15,1663,0,2.8,1.8
2018.10.22,3373,290,1.8,3.1
2018.10.29,264,2033,2.9,9.5
2018.11.05,106,198,4.9,8.4
2018.11.12,106,145,4.7,5.7
2018.11.19,238,125,6.7,5.5
2018.11.26,383,30,4.2,1.7
2018.12.03,0,40,2.4,1.8
2018.12.10,0,0,3.5,3.6
2018.12.17,0,0,3.1,2.4
2018.12.24,79,172,1.5,3.3
2018.12.31,469,0,3.5,2.5
2019.01.07,119,198,4,1.6
2019.01.14,0,0,10.2,3.1
2019.01.21,0,40,3.2,1.6
2019.01.28,0,0,3.2,4.4
2019.02.07,0,0,4.5,2.3
2019.02.11,0,0,5.3,3.1
2019.02.18,0,0,4.8,2.5
2019.02.25,0,0,12.2,2.3
2019.03.04,0,0,17.6,2.4
2019.03.11,0,0,24.7,4.1
2019.03.18,0,0,1.2,3.2
2019.03.25,0,0,5.4,3.7
2019.04.01,0,0,4.9,6
2019.04.08,0,0,5.7,3.5
2019.04.15,0,0,7,1.8
2019.04.22,0,0,2.9,1.8
2019.04.29,0,0,25.1,2.1
2019.05.07,0,0,9.8,2.7
2019.05.13,0,0,9.1,3.6
2019.05.20,0,0,10,3.4
2019.05.28,0,0,4.4,2.7
2019.06.03,42,28,4.1,18
2019.06.10,28,0,6.1,9.2
2019.06.17,382,0,3.3,4.4
2019.06.24,141,693,12.4,4.9
2019.07.01,495,42,13.5,7.6
2019.07.08,28,255,5.7,16.3
2019.07.15,0,126,4.6,8.2
2019.07.23,283,0,2.7,6.2
2019.07.29,198,84,2,10.9
2019.08.05,127,538,6.3,7
2019.08.12,141,481,4.4,6.2
2019.08.19,126,778,1.7,6.1
