sample_date,station_code,station_name,lake_name,river_basin,large_watershed,middle_watershed,watershed_code,cyanobacteria_cells_ml,temperature_c,pH,DO_mg_l,chlorophyll_a_mg_m3,algae_alarm_stage,latitude,longitude,basis,source,source_url,site_group_code,site_group_name_english
2025-10-14,3014G20,3014G20,G026,Geum River,Geum River,G026,G026,0.0,22.5,7.6,8.8,17.6,Normal,36.099,127.032,NIER mobile algae-warning recent measurement: harmful cyanobacteria cell count,water.nier.go.kr mobile waterRecent_1,https://water.nier.go.kr/mobile/link/?pMENU_NO=132,G026,G026
2025-10-20,3014G10,3014G10,G026,Geum River,Geum River,G026,G026,0.0,18.0,7.5,9.2,3.3,Normal,36.099,127.05,NIER mobile algae-warning recent measurement: harmful cyanobacteria cell count,water.nier.go.kr mobile waterRecent_1,https://water.nier.go.kr/mobile/link/?pMENU_NO=132,G026,G026
2025-10-21,3014G20,3014G20,G026,Geum River,Geum River,G026,G026,0.0,17.6,7.5,8.7,4.7,Normal,36.099,127.032,NIER mobile algae-warning recent measurement: harmful cyanobacteria cell count,water.nier.go.kr mobile waterRecent_1,https://water.nier.go.kr/mobile/link/?pMENU_NO=132,G026,G026
2025-10-27,3014G20,3014G20,G026,Geum River,Geum River,G026,G026,0.0,15.8,7.8,9.1,13.0,Normal,36.099,127.032,NIER mobile algae-warning recent measurement: harmful cyanobacteria cell count,water.nier.go.kr mobile waterRecent_1,https://water.nier.go.kr/mobile/link/?pMENU_NO=132,G026,G026
2025-10-28,3014G10,3014G10,G026,Geum River,Geum River,G026,G026,0.0,15.7,7.7,8.2,13.7,Normal,36.099,127.05,NIER mobile algae-warning recent measurement: harmful cyanobacteria cell count,water.nier.go.kr mobile waterRecent_1,https://water.nier.go.kr/mobile/link/?pMENU_NO=132,G026,G026
2026-07-13,3203G20,3203G20,Boryeongho,Geum River,Geum River,Boryeongho,G019,54.0,17.8,7.7,4.5,0.8,Normal,36.099,126.922,NIER mobile algae-warning recent measurement: harmful cyanobacteria cell count,water.nier.go.kr mobile waterRecent_1,https://water.nier.go.kr/mobile/link/?pMENU_NO=132,G019,Boryeongho
2026-07-13,3008G50,3008G50,Daecheongho,Geum River,Geum River,Daecheongho,G018,704.0,29.6,8.9,9.9,16.8,Normal,36.099,126.86699999999999,NIER mobile algae-warning recent measurement: harmful cyanobacteria cell count,water.nier.go.kr mobile waterRecent_1,https://water.nier.go.kr/mobile/link/?pMENU_NO=132,G018,Daecheongho
2026-07-13,3008G40,3008G40,Daecheongho,Geum River,Geum River,Daecheongho,G018,479.0,27.3,8.2,8.0,9.1,Normal,36.099,126.90299999999999,NIER mobile algae-warning recent measurement: harmful cyanobacteria cell count,water.nier.go.kr mobile waterRecent_1,https://water.nier.go.kr/mobile/link/?pMENU_NO=132,G018,Daecheongho
2026-07-13,3001G20,3001G20,Yongdamho,Geum River,Geum River,Yongdamho,G020,91.0,22.1,7.8,8.2,5.5,Normal,36.099,126.99499999999999,NIER mobile algae-warning recent measurement: harmful cyanobacteria cell count,water.nier.go.kr mobile waterRecent_1,https://water.nier.go.kr/mobile/link/?pMENU_NO=132,G020,Yongdamho
2026-07-13,3001G40,3001G40,Yongdamho,Geum River,Geum River,Yongdamho,G020,119.0,22.6,7.9,8.4,5.1,Normal,36.115,126.977,NIER mobile algae-warning recent measurement: harmful cyanobacteria cell count,water.nier.go.kr mobile waterRecent_1,https://water.nier.go.kr/mobile/link/?pMENU_NO=132,G020,Yongdamho
