station_code,station_name,station_name_korean,network_category_code,network_category,country,province,city,latitude,longitude,elevation_m,address,river_basin,source_agency,monitoring_agency,operation_status,operation_start_year,river_system,large_watershed,middle_watershed,measurement_cycle
1001A05,Songcheon1,송천1,A,River or stream,South Korea,Gangwon-do,Kang-neung,37.658611,128.6765,,강원도 평창군 대관령면 용산리,Han River,NIER Water Environment Information System,원주지방환경청,운영중,1994,한강,한강,남한강상류,월1회
1001A06,송천2,송천2,A,River or stream,South Korea,Gangwon-do,Kang-neung,37.596853,128.727392,,강원도 강릉시 왕산면 대기리,Han River,NIER Water Environment Information System,한강유역환경청,운영중,2022,한강,한강,남한강상류,주1회
1001A07,송천3,송천3,A,River or stream,South Korea,Gangwon-do,Kang-neung,37.54815,128.713672,,강원도 강릉시 왕산면 대기리,Han River,NIER Water Environment Information System,한강유역환경청,운영중,2022,한강,한강,남한강상류,주1회
1001A10,Songcheon2,송천4,A,River or stream,South Korea,Gangwon-do,Kang-neung,37.491278,128.717667,,강원도 정선군 여량면 유천리,Han River,NIER Water Environment Information System,원주지방환경청,운영중,1994,한강,한강,남한강상류,월1회
1001A13,골지천1,골지천1,A,River or stream,South Korea,Gangwon-do,T'aebaek,37.309139,128.989972,,강원도 태백시 하사미동,Han River,NIER Water Environment Information System,한강유역환경청,운영중,2022,한강,한강,남한강상류,주1회
1001A15,Goljicheon1,골지천2,A,River or stream,South Korea,Gangwon-do,T'aebaek,37.320028,128.977833,,강원도 태백시 하사미동,Han River,NIER Water Environment Information System,한국수자원공사,운영중,1994,한강,한강,남한강상류,월1회
1001A20,Beoncheon,번천,A,River or stream,South Korea,Gangwon-do,T'aebaek,37.345167,128.974139,,강원도 삼척시 하장면 숙암리,Han River,NIER Water Environment Information System,한국수자원공사,운영중,1994,한강,한강,남한강상류,월1회
1001A21,골지천3,골지천3,A,River or stream,South Korea,Gangwon-do,T'aebaek,37.396278,128.870461,,강원도 삼척시 하장면 토산리,Han River,NIER Water Environment Information System,한강유역환경청,운영중,2022,한강,한강,남한강상류,주1회
1001A23,송현천,송현천,A,River or stream,South Korea,Gangwon-do,Kang-neung,37.520389,128.849694,,강원도 강릉시 왕산면 고단리,Han River,NIER Water Environment Information System,한강유역환경청,운영중,2022,한강,한강,남한강상류,주1회
1001A25,Goljicheon2,골지천4,A,River or stream,South Korea,Gangwon-do,Kang-neung,37.473472,128.7295,,강원도 정선군 여량면 여량리,Han River,NIER Water Environment Information System,원주지방환경청,운영중,1994,한강,한강,남한강상류,월1회
1001A30,Joyanggang,조양강,A,River or stream,South Korea,Gangwon-do,Neietsu,37.439111,128.652806,,강원도 정선군 북평면 남평리,Han River,NIER Water Environment Information System,한강통합물환경센터,운영중,1994,한강,한강,남한강상류,주1회
1001A35,Odaecheon1,오대천1,A,River or stream,South Korea,Gangwon-do,Kang-neung,37.635889,128.559806,,강원도 평창군 진부면 하진부리,Han River,NIER Water Environment Information System,강원특별자치도 보건환경연구원,운영중,1994,한강,한강,남한강상류,월1회
