date,timestamp,display_location,location_name,station_name,monitoring_point_id,station_code,city,district,province,country,latitude,longitude,pH,DO,BOD,COD,SS,TN,TP,temperature,EC,Turbidity,Chlorophyll_a,Fecal_Coliform,E_coli,Alkalinity,Hardness,Ammonia_N,Nitrate_N,Phosphate_P,the_geom,OBJECTID,MGTNO,IVSTG_GB,IVSTG_SPOT,IVSTG_DT,RGD_DT,MODI_DT,OPERT_MTH,USE_YN,region,source,x,y
2026-06-26,2026-06-26 10:46:33,"Ulsan 1, South Korea","Ulsan 1, South Korea",Ulsan 1,W-2,DG2005E013,Ulsan,,Ulsan,South Korea,35.755901586318465,129.45964673159264,6.85,8.0,1.7,4.3,10.0,2.05,0.18,14.4,212.0,3.0,3.6,10.0,8.0,52.2,60.4,0.49,1.08,0.16,,4481,DG2005E013,IV05,W-2,,,,GE04,Y,"Ulsan 1, South Korea",Korean Water Quality API,1177172.029,1752830.7452
2026-06-26,2026-06-26 10:46:32,"Ulsan 2, South Korea","Ulsan 2, South Korea",Ulsan 2,W-3,DG2005E013,Ulsan,,Ulsan,South Korea,35.74315075230505,129.4815903123239,7.0,7.8,2.6,2.3,7.0,1.6,0.1,17.2,208.0,2.7,4.8,16.0,16.0,48.0,65.2,0.25,1.62,0.08,,4014,DG2005E013,IV05,W-3,,,,GE04,Y,"Ulsan 2, South Korea",Korean Water Quality API,1179184.7963,1751456.1724
2026-06-26,2026-06-26 10:46:32,"Ulsan 3, South Korea","Ulsan 3, South Korea",Ulsan 3,W-4,DG2005E013,Ulsan,,Ulsan,South Korea,35.74532235719712,129.48024825551587,7.0,7.8,2.6,2.3,7.0,1.6,0.1,17.2,208.0,2.7,4.8,16.0,16.0,48.0,65.2,0.25,1.62,0.08,,3624,DG2005E013,IV05,W-4,,,,GE04,Y,"Ulsan 3, South Korea",Korean Water Quality API,1179058.56,1751694.6187
2026-06-26,2026-06-26 10:46:31,"Ulsan 4, South Korea","Ulsan 4, South Korea",Ulsan 4,W-5,DG2005E013,Ulsan,,Ulsan,South Korea,35.75205915264629,129.46653258946216,7.1,8.4,1.7,2.3,13.0,1.9,0.1,17.2,202.0,3.6,3.6,28.0,16.0,56.4,65.2,0.41,1.08,0.08,,3336,DG2005E013,IV05,W-5,,,,GE04,Y,"Ulsan 4, South Korea",Korean Water Quality API,1177803.2104,1752416.9707
2026-06-26,2026-06-26 10:46:31,"Enjitsu 1, Gyeongsangbuk-do, South Korea","Enjitsu 1, Gyeongsangbuk-do, South Korea",Enjitsu 1,W-6,DG2005E013,Enjitsu,,Gyeongsangbuk-do,South Korea,35.76826371409362,129.45366667480346,7.0,7.8,2.6,2.3,7.0,1.6,0.1,17.2,208.0,2.7,4.8,16.0,16.0,48.0,65.2,0.25,1.62,0.08,,3114,DG2005E013,IV05,W-6,,,,GE04,Y,"Enjitsu 1, Gyeongsangbuk-do, South Korea",Korean Water Quality API,1176603.9657,1754191.2918
2026-06-26,2026-06-26 10:46:33,"Heung-hai 1, Gyeongsangbuk-do, South Korea","Heung-hai 1, Gyeongsangbuk-do, South Korea",Heung-hai 1,W-2,DG2006E010,Heung-hai,,Gyeongsangbuk-do,South Korea,36.102017430917876,129.3653676573955,7.05,8.0,1.4,2.7,8.0,1.75,0.14,17.9,210.0,3.0,3.2,19.0,18.0,49.4,66.4,0.33,0.9,0.12,,4465,DG2006E010,IV05,W-2,,,,GE04,Y,"Heung-hai 1, Gyeongsangbuk-do, South Korea",Korean Water Quality API,1167913.4996,1791059.6508
2026-06-26,2026-06-26 10:46:32,"Heung-hai 2, Gyeongsangbuk-do, South Korea","Heung-hai 2, Gyeongsangbuk-do, South Korea",Heung-hai 2,W-3,DG2006E010,Heung-hai,,Gyeongsangbuk-do,South Korea,36.1056004333902,129.37173545849802,7.2,7.4,2.3,3.1,7.0,1.6,0.18,18.6,206.0,2.1,4.4,34.0,20.0,48.0,67.6,0.25,1.44,0.16,,3998,DG2006E010,IV05,W-3,,,,GE04,Y,"Heung-hai 2, Gyeongsangbuk-do, South Korea",Korean Water Quality API,1168479.1142,1791468.1503
2026-06-26,2026-06-26 10:46:32,"Heung-hai 3, Gyeongsangbuk-do, South Korea","Heung-hai 3, Gyeongsangbuk-do, South Korea",Heung-hai 3,W-4,DG2006E010,Heung-hai,,Gyeongsangbuk-do,South Korea,36.10768575783541,129.40119387457432,6.85,8.0,1.7,4.3,10.0,2.05,0.18,14.4,212.0,3.0,3.6,10.0,8.0,52.2,60.4,0.49,1.08,0.16,,3611,DG2006E010,IV05,W-4,,,,GE04,Y,"Heung-hai 3, Gyeongsangbuk-do, South Korea",Korean Water Quality API,1171126.5048,1791750.9576
2026-06-26,2026-06-26 10:46:33,"Eisen 1, Gyeongsangbuk-do, South Korea","Eisen 1, Gyeongsangbuk-do, South Korea",Eisen 1,W-2,DG2006E012,Eisen,,Gyeongsangbuk-do,South Korea,36.91409130267753,128.57889276338082,6.95,8.4,2.3,2.7,12.0,1.75,0.14,15.8,216.0,3.6,4.4,16.0,12.0,55.0,62.8,0.33,1.44,0.12,,4453,DG2006E012,IV05,W-2,,,,GE04,Y,"Eisen 1, Gyeongsangbuk-do, South Korea",Korean Water Quality API,1096105.1223,1880070.7881
2026-06-26,2026-06-26 10:46:32,"Eisen 2, Gyeongsangbuk-do, South Korea","Eisen 2, Gyeongsangbuk-do, South Korea",Eisen 2,W-3,DG2006E012,Eisen,,Gyeongsangbuk-do,South Korea,36.92665414004227,128.57920829088096,7.15,8.4,2.0,3.5,10.0,2.05,0.1,13.0,214.0,3.6,4.0,25.0,4.0,52.2,58.0,0.49,1.26,0.08,,3987,DG2006E012,IV05,W-3,,,,GE04,Y,"Eisen 2, Gyeongsangbuk-do, South Korea",Korean Water Quality API,1096117.4586,1881464.7932
